"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","Subtype/Genotype (GenBank)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"386","PR5889-BeAn844334","Yellow fever virus",NA,"-N/A-","MF370539","11006","-N/A-","02/23/2017","Monkey","Sapajus libidinosus","Brazil","genomic RNA",11006,1.1006,">90%","South America","Brazil"
"387","PR5818-BeAn841176","Yellow fever virus",NA,"-N/A-","MF370535","10897","-N/A-","08/30/2016","Black Howler","Alouatta sp.","Brazil","genomic RNA",10897,1.0897,">90%","South America","Brazil"
"388","BeAn820890","Yellow fever virus",NA,"-N/A-","MF370549","10581","-N/A-","08/26/2015","-N/A-","Monkey","Brazil","genomic RNA",10581,1.0581,">90%","South America","Brazil"
"389","PR5892-BeAn844358","Yellow fever virus",NA,"-N/A-","MF370540","11005","-N/A-","02/25/2017","Monkey","Alouatta seniculus","Brazil","genomic RNA",11005,1.1005,">90%","South America","Brazil"
"390","MIG2484-H843301","Yellow fever virus",NA,"-N/A-","MF370533","10881","-N/A-","01/11/2017","Human","Homo sapiens","Brazil","genomic RNA",10881,1.0881,">90%","South America","Brazil"
"391","SA39","Yellow fever virus",NA,"-N/A-","MH329655","10169","-N/A-","01/29/2018","Mosquito","Aedes albopictus","Brazil","genomic RNA",10169,1.0169,">90%","South America","Brazil"
"392","PR5926-BeAn844893","Yellow fever virus",NA,"-N/A-","MF370542","10898","-N/A-","03/14/2017","Howler Monkey","Alouatta guariba","Brazil","genomic RNA",10898,1.0898,">90%","South America","Brazil"
"393","MIG2482-H843297","Yellow fever virus",NA,"-N/A-","MF370532","11005","-N/A-","01/10/2017","Human","Homo sapiens","Brazil","genomic RNA",11005,1.1005,">90%","South America","Brazil"
"394","PR5951-BeAn845401","Yellow fever virus",NA,"-N/A-","MF370544","11007","-N/A-","04/05/2017","Monkey","Aotus ozzarae infulatus","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"395","PR5841-BeAn843345","Yellow fever virus",NA,"-N/A-","MF370537","11007","-N/A-","01/17/2017","-N/A-","Monkey","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"396","PR5952-BeAn845405","Yellow fever virus",NA,"-N/A-","MF370545","11008","-N/A-","04/05/2017","Monkey","Aotus ozzarae infulatus","Brazil","genomic RNA",11008,1.1008,">90%","South America","Brazil"
"397","RJPR2910","Yellow fever virus",NA,"-N/A-","MF370547","10998","-N/A-","03/27/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",10998,1.0998,">90%","South America","Brazil"
"398","PR5937-BeAn845130","Yellow fever virus",NA,"-N/A-","MF370543","11007","-N/A-","03/03/2017","Black Howler","Alouatta sp.","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"399","PR5819-BeAn841178","Yellow fever virus",NA,"-N/A-","MF370536","11007","-N/A-","09/02/2016","Black Howler","Alouatta sp.","Brazil","genomic RNA",11007,1.1007,">90%","South America","Brazil"
"400","PR5953-BeAn845409","Yellow fever virus",NA,"-N/A-","MF370546","11004","-N/A-","04/05/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",11004,1.1004,">90%","South America","Brazil"
"401","human/MG/2017","Yellow fever virus",NA,"-N/A-","MH560359","10780","-N/A-","01/2017","Human","Homo sapiens","Brazil","genomic RNA",10780,1.078,">90%","South America","Brazil"
"402","JabSPM02","Yellow fever virus",NA,"-N/A-","MW034590","10945","-N/A-","11/01/2016","Black Howler","Alouatta caraya","Brazil","genomic RNA",10945,1.0945,">90%","South America","Brazil"
"403","17D","Yellow fever virus","West Africa Genotype II","-N/A-","MT107250","10862","-N/A-","-N/A-","Unknown","-N/A-","Russia","genomic RNA",10862,1.0862,">90%","Europe","Russia+"
"404","UNKNOWN-LY720078","Yellow fever virus",NA,"-N/A-","LY720078","10862","-N/A-","-N/A-","Unknown","-N/A-",NA,"unassigned DNA",10862,1.0862,">90%",NA,NA
"405","RJ259","Yellow fever virus",NA,"-N/A-","MN604283","10167","-N/A-","03/15/2017","Monkey","Callithrix","Brazil","genomic RNA",10167,1.0167,">90%","South America","Brazil"
"406","RJ261","Yellow fever virus","West Africa Genotype II","-N/A-","MN604282","10167","-N/A-","03/16/2017","Monkey","Callithrix","Brazil","genomic RNA",10167,1.0167,">90%","South America","Brazil"
"407","RJ260","Yellow fever virus",NA,"-N/A-","MN604281","10167","-N/A-","03/13/2017","Monkey","Alouatta","Brazil","genomic RNA",10167,1.0167,">90%","South America","Brazil"
"408","RJ251","Yellow fever virus",NA,"-N/A-","MN604280","10166","-N/A-","03/10/2017","Monkey","Callithrix","Brazil","genomic RNA",10166,1.0166,">90%","South America","Brazil"
"409","RJ258","Yellow fever virus",NA,"-N/A-","MN604284","10172","-N/A-","03/15/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"410","RJ274","Yellow fever virus",NA,"-N/A-","MN604285","10172","-N/A-","04/05/2017","Monkey","Callithrix penicillata","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"411","RJ292","Yellow fever virus",NA,"-N/A-","MN604286","10172","-N/A-","04/07/2017","Monkey","Callithrix penicillata","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"412","RJ269","Yellow fever virus",NA,"-N/A-","MN604287","10166","-N/A-","03/17/2017","Monkey","Alouatta","Brazil","genomic RNA",10166,1.0166,">90%","South America","Brazil"
"413","BeAn131/TVP21797","Yellow fever virus",NA,"-N/A-","MW158338","10780","-N/A-","01/21/1955","Monkey","sentinel monkey","Brazil","genomic RNA",10780,1.078,">90%","South America","Brazil"
"414","BeAn23536/TVP21799","Yellow fever virus",NA,"-N/A-","MW158339","10742","-N/A-","09/23/1960","Monkey","Cebus sp.","Brazil","genomic RNA",10742,1.0742,">90%","South America","Brazil"
"415","BeAn142027/TVP21798","Yellow fever virus",NA,"-N/A-","MW158340","10780","-N/A-","06/06/1968","Monkey","Saguinus midas","Brazil","genomic RNA",10780,1.078,">90%","South America","Brazil"
"416","BeAn510268/TVP21800","Yellow fever virus",NA,"-N/A-","MW158341","10618","-N/A-","06/21/1991","Black Howler","Alouatta sp.","Brazil","genomic RNA",10618,1.0618,">90%","South America","Brazil"
"417","BeAn625929/TVP21801","Yellow fever virus",NA,"-N/A-","MW158342","10859","-N/A-","02/07/2000","Black Howler","Alouatta sp.","Brazil","genomic RNA",10859,1.0859,">90%","South America","Brazil"
"418","BeAr233436/TVP21802","Yellow fever virus",NA,"-N/A-","MW158343","10667","-N/A-","02/16/1973","Mosquito","Haemagogus sp.","Brazil","genomic RNA",10667,1.0667,">90%","South America","Brazil"
"419","BeAr437159/TVP21803","Yellow fever virus",NA,"-N/A-","MW158344","10665","-N/A-","06/16/1985","Mosquito","Haemagogus janthinomys","Brazil","genomic RNA",10665,1.0665,">90%","South America","Brazil"
"420","CAREC889920/TVP21805","Yellow fever virus",NA,"-N/A-","MW158345","10660","-N/A-","12/14/1988","Mosquito","Haemagogus janthinomys","Trinidad and Tobago","genomic RNA",10660,1.066,">90%","South America","Rest Central America"
"421","CAREC890692/TVP21806","Yellow fever virus",NA,"-N/A-","MW158346","10667","-N/A-","01/20/1989","Mosquito","Sabethes chloropterus","Trinidad and Tobago","genomic RNA",10667,1.0667,">90%","South America","Rest Central America"
"422","CAREC891954/TVP21807","Yellow fever virus",NA,"-N/A-","MW158347","10666","-N/A-","02/22/1989","Black Howler","Alouatta sp.","Trinidad and Tobago","genomic RNA",10666,1.0666,">90%","South America","Rest Central America"
"423","CAREC9515207/TVP21809","Yellow fever virus",NA,"-N/A-","MW158348","10448","-N/A-","1995","Mosquito","Haemagogus sp.","Trinidad and Tobago","genomic RNA",10448,1.0448,">90%","South America","Rest Central America"
"424","INHRR1a-04/TVP21810","Yellow fever virus",NA,"-N/A-","MW158349","10673","-N/A-","2004","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10673,1.0673,">90%","South America","Rest South America"
"425","INHRR2a-04/TVP21811","Yellow fever virus",NA,"-N/A-","MW158350","10659","-N/A-","2004","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10659,1.0659,">90%","South America","Rest South America"
"426","INHRR3a-05/TVP21812","Yellow fever virus",NA,"-N/A-","MW158351","10671","-N/A-","2005","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10671,1.0671,">90%","South America","Rest South America"
"427","INHRR4a-05/TVP21813","Yellow fever virus",NA,"-N/A-","MW158352","10763","-N/A-","2005","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10763,1.0763,">90%","South America","Rest South America"
"428","INHRR5a-05/TVP21814","Yellow fever virus",NA,"-N/A-","MW158353","10677","-N/A-","2005","Human","Homo sapiens","Venezuela","genomic RNA",10677,1.0677,">90%","South America","Rest South America"
"429","INHRR6a-05/TVP21815","Yellow fever virus",NA,"-N/A-","MW158354","10705","-N/A-","2005","Human","Homo sapiens","Venezuela","genomic RNA",10705,1.0705,">90%","South America","Rest South America"
"430","INHRR8a-06/TVP21816","Yellow fever virus",NA,"-N/A-","MW158355","10675","-N/A-","2006","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10675,1.0675,">90%","South America","Rest South America"
"431","INHRR9a-07/TVP21817","Yellow fever virus",NA,"-N/A-","MW158356","10668","-N/A-","2007","Monkey","Alouatta seniculus","Venezuela","genomic RNA",10668,1.0668,">90%","South America","Rest South America"
"432","Asibi","Yellow fever virus","West Africa Genotype II","-N/A-","MT956630","10816","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10816,1.0816,">90%",NA,NA
"433","Asibi","Yellow fever virus","West Africa Genotype II","-N/A-","MT956629","10822","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10822,1.0822,">90%",NA,NA
"434","Asibi","Yellow fever virus","West Africa Genotype II","-N/A-","MT956628","10854","-N/A-","-N/A-","Unknown","-N/A-",NA,"genomic RNA",10854,1.0854,">90%",NA,NA
"435","PM322117","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595182","10643","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10643,1.0643,">90%","Africa","Western Africa"
"436","PM322188","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595183","10619","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10619,1.0619,">90%","Africa","Western Africa"
"437","PM352481","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595184","10535","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10535,1.0535,">90%","Africa","Western Africa"
"438","PM352628","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595185","10603","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10603,1.0603,">90%","Africa","Western Africa"
"439","PM352640","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595186","10650","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10650,1.065,">90%","Africa","Western Africa"
"440","PM352649","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595187","10596","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10596,1.0596,">90%","Africa","Western Africa"
"441","PM352652","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595188","10637","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10637,1.0637,">90%","Africa","Western Africa"
"442","PM352662","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595189","10657","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10657,1.0657,">90%","Africa","Western Africa"
"443","PM352721","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595190","10637","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10637,1.0637,">90%","Africa","Western Africa"
"444","PM352818","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595191","10637","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10637,1.0637,">90%","Africa","Western Africa"
"445","PM352820","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595192","10601","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10601,1.0601,">90%","Africa","Western Africa"
"446","PM352859","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595193","10651","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10651,1.0651,">90%","Africa","Western Africa"
"447","PM352903","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595194","10598","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10598,1.0598,">90%","Africa","Western Africa"
"448","PM352943","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595195","10652","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10652,1.0652,">90%","Africa","Western Africa"
"449","PM352951","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595196","10598","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10598,1.0598,">90%","Africa","Western Africa"
"450","PM352972","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595197","10643","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10643,1.0643,">90%","Africa","Western Africa"
"451","PM353136","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595198","10530","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10530,1.053,">90%","Africa","Western Africa"
"452","PM353171","Yellow fever virus","West Africa Genotype II","-N/A-","MZ595199","10605","-N/A-","2020","Mosquito","mosquito","Senegal","genomic RNA",10605,1.0605,">90%","Africa","Western Africa"
"453","7D_P3","Yellow fever virus","West Africa Genotype II","-N/A-","MW249074","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"454","17D_P4","Yellow fever virus","West Africa Genotype II","-N/A-","MW249075","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"455","17D_P5","Yellow fever virus","West Africa Genotype II","-N/A-","MW249076","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"456","FNV_P3","Yellow fever virus","West Africa Genotype II","-N/A-","MW249077","10717","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10717,1.0717,">90%","Europe","Western Europe"
"457","FNV_P4","Yellow fever virus","West Africa Genotype II","-N/A-","MW249078","10727","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10727,1.0727,">90%","Europe","Western Europe"
"458","FNV_P5","Yellow fever virus","West Africa Genotype II","-N/A-","MW249079","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"459","Stamaril_2002","Yellow fever virus","West Africa Genotype II","-N/A-","MW249080","10862","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10862,1.0862,">90%","Europe","Western Europe"
"460","FNV-NS1","Yellow fever virus","West Africa Genotype II","-N/A-","MW249081","10714","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10714,1.0714,">90%","Europe","Western Europe"
"461","FNV-N2","Yellow fever virus","West Africa Genotype II","-N/A-","MW249082","10714","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10714,1.0714,">90%","Europe","Western Europe"
"462","FNV-N3","Yellow fever virus","West Africa Genotype II","-N/A-","MW249083","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"463","FNV-NS4","Yellow fever virus","West Africa Genotype II","-N/A-","MW249084","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"464","SP01/BRA/2019","Yellow fever virus",NA,"-N/A-","MZ604838","10261","-N/A-","2019","Human","Homo sapiens","Brazil","genomic RNA",10261,1.0261,">90%","South America","Brazil"
"465","SP02/BRA/2019","Yellow fever virus",NA,"-N/A-","MZ604839","10258","-N/A-","2019","Human","Homo sapiens","Brazil","genomic RNA",10258,1.0258,">90%","South America","Brazil"
"466","SP01/BRA/2018","Yellow fever virus",NA,"-N/A-","MZ604840","10276","-N/A-","2018","Human","Homo sapiens","Brazil","genomic RNA",10276,1.0276,">90%","South America","Brazil"
"467","SP03/BRA/2019","Yellow fever virus",NA,"-N/A-","MZ604841","10282","-N/A-","2019","Human","Homo sapiens","Brazil","genomic RNA",10282,1.0282,">90%","South America","Brazil"
"468","SP03/BRA/2018","Yellow fever virus",NA,"-N/A-","MZ604842","10288","-N/A-","2018","Human","Homo sapiens","Brazil","genomic RNA",10288,1.0288,">90%","South America","Brazil"
"469","SP05/BRA/2019","Yellow fever virus",NA,"-N/A-","MZ604843","10081","-N/A-","2019","Human","Homo sapiens","Brazil","genomic RNA",10081,1.0081,">90%","South America","Brazil"
"470","SP06/BRA/2019","Yellow fever virus",NA,"-N/A-","MZ604844","10279","-N/A-","2019","Human","Homo sapiens","Brazil","genomic RNA",10279,1.0279,">90%","South America","Brazil"
"471","FNV-S5","Yellow fever virus","West Africa Genotype II","-N/A-","MW249085","10714","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10714,1.0714,">90%","Europe","Western Europe"
"472","FNV-N6","Yellow fever virus","West Africa Genotype II","-N/A-","MW249086","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"473","FNV-S7","Yellow fever virus","West Africa Genotype II","-N/A-","MW249087","10727","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10727,1.0727,">90%","Europe","Western Europe"
"474","FNV-S8","Yellow fever virus","West Africa Genotype II","-N/A-","MW249088","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"475","FNV-NS9","Yellow fever virus","West Africa Genotype II","-N/A-","MW249089","10714","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10714,1.0714,">90%","Europe","Western Europe"
"476","FNV-NS10","Yellow fever virus","West Africa Genotype II","-N/A-","MW249090","10714","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10714,1.0714,">90%","Europe","Western Europe"
"477","FNV-S11","Yellow fever virus","West Africa Genotype II","-N/A-","MW249091","10714","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10714,1.0714,">90%","Europe","Western Europe"
"478","FNV-NS13","Yellow fever virus","West Africa Genotype II","-N/A-","MW249092","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"479","FNV-N14","Yellow fever virus","West Africa Genotype II","-N/A-","MW249093","10716","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10716,1.0716,">90%","Europe","Western Europe"
"480","FNV-NS15","Yellow fever virus","West Africa Genotype II","-N/A-","MW249094","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"481","FNV-N12","Yellow fever virus","West Africa Genotype II","-N/A-","MW249095","10715","-N/A-","02/07/2019","Human","Homo sapiens","France","genomic RNA",10715,1.0715,">90%","Europe","Western Europe"
"482","SP04/BRA/2018","Yellow fever virus",NA,"-N/A-","MZ604845","10289","-N/A-","2018","Human","Homo sapiens","Brazil","genomic RNA",10289,1.0289,">90%","South America","Brazil"
